iter	AUC	Logloss	Recall	Precision	Accuracy	F1	Kappa	MCC
0	0.5752231073	0.6791483912	0	1	0.8107532832	0	0	0
1	0.5848547082	0.6661244032	0	1	0.8107532832	0	0	0
2	0.5881429017	0.6538906	0	1	0.8107532832	0	0	0
3	0.5894801752	0.6425310511	0	1	0.8107532832	0	0	0
4	0.5901728952	0.63187959	0	1	0.8107532832	0	0	0
5	0.593682081	0.6219223128	0	1	0.8107532832	0	0	0
6	0.5947251942	0.6127090897	0	1	0.8107532832	0	0	0
7	0.595725632	0.6039597129	0	1	0.8107532832	0	0	0
8	0.5963265949	0.5958113612	0	1	0.8107532832	0	0	0
9	0.5961861394	0.5882138391	0	1	0.8107532832	0	0	0
10	0.5963663431	0.5811701502	0	1	0.8107532832	0	0	0
11	0.5972896743	0.5745042965	0	1	0.8107532832	0	0	0
12	0.5976106015	0.5682861767	0	1	0.8107532832	0	0	0
13	0.59794975	0.5624801571	0	1	0.8107532832	0	0	0
14	0.598069194	0.5570494056	0	1	0.8107532832	0	0	0
15	0.5983885392	0.5519112783	0	1	0.8107532832	0	0	0
16	0.5984643304	0.5471432266	0	1	0.8107532832	0	0	0
17	0.5984620436	0.5427070716	0	1	0.8107532832	0	0	0
18	0.5987028429	0.5385392876	0	1	0.8107532832	0	0	0
19	0.5986453783	0.5346587224	0	1	0.8107532832	0	0	0
20	0.5987850352	0.5310026826	0	1	0.8107532832	0	0	0
21	0.5986426334	0.5276138777	0	1	0.8107532832	0	0	0
22	0.5986923221	0.5246115021	0	1	0.8107532832	0	0	0
23	0.5993294879	0.5215927811	0	1	0.8107532832	0	0	0
24	0.5997152005	0.5188278649	0	1	0.8107532832	0	0	0
25	0.5999554651	0.5163531716	0	1	0.8107532832	0	0	0
26	0.6000701476	0.513867807	0	1	0.8107532832	0	0	0
27	0.6000860521	0.5116018776	0	1	0.8107532832	0	0	0
28	0.6001984682	0.5095354954	0	1	0.8107532832	0	0	0
29	0.6002629592	0.507580898	0	1	0.8107532832	0	0	0
30	0.6003517071	0.5056570226	0	1	0.8107532832	0	0	0
31	0.6005336146	0.5038535137	0	1	0.8107532832	0	0	0
32	0.6005106636	0.5021841599	0	1	0.8107532832	0	0	0
33	0.6006563597	0.5006165591	0	1	0.8107532832	0	0	0
34	0.6006869842	0.499137752	0	1	0.8107532832	0	0	0
35	0.6006982851	0.4977354888	0	1	0.8107532832	0	0	0
36	0.6008681088	0.4964658022	0	1	0.8107532832	0	0	0
37	0.6009114732	0.4952503062	0	1	0.8107532832	0	0	0
38	0.6012410404	0.494086186	0	1	0.8107532832	0	0	0
39	0.6013851984	0.4929904554	0	1	0.8107532832	0	0	0
40	0.6016470438	0.4920278872	0	1	0.8107532832	0	0	0
