iter	Passed	Remaining
0	454	44973
1	932	45673
2	1413	45698
3	1887	45298
4	2361	44877
5	2842	44536
6	3288	43688
7	3735	42954
8	4209	42566
9	4660	41940
10	5114	41378
11	5604	41102
12	6081	40699
13	6562	40311
14	7036	39874
15	7481	39280
16	7963	38878
17	8434	38422
18	8886	37883
19	9361	37444
20	9816	36930
21	10291	36486
22	10769	36053
23	11215	35514
24	11702	35108
25	12151	34584
26	12633	34157
27	13107	33704
28	13556	33189
29	14035	32750
30	14482	32234
31	14964	31800
32	15440	31349
33	15922	30907
34	16367	30396
35	16843	29943
36	17289	29439
37	17742	28948
38	18185	28443
39	18720	28080
40	19166	27581
41	19622	27097
42	20096	26639
43	20547	26151
44	21026	25698
45	21505	25245
46	22020	24831
47	22500	24375
48	22973	23911
49	23420	23420
50	23876	22940
51	24352	22479
52	24829	22018
53	25306	21557
54	25783	21095
55	26255	20629
56	26736	20169
57	27211	19705
58	27692	19243
59	28166	18777
60	28644	18313
61	29095	17832
62	29575	17369
63	30111	16937
64	30588	16470
65	31034	15987
66	31511	15520
67	31961	15040
68	32437	14573
69	32892	14096
70	33365	13628
71	33847	13162
72	34321	12694
73	34802	12227
74	35276	11758
75	35757	11291
76	36203	10814
77	36675	10344
78	37156	9877
79	37630	9407
80	38105	8938
81	38580	8468
82	39056	7999
83	39536	7530
84	39988	7056
85	40434	6582
86	40885	6109
87	41362	5640
88	41811	5167
89	42285	4698
90	42732	4226
91	43178	3754
92	43658	3286
93	44137	2817
94	44590	2346
95	45066	1877
96	45520	1407
97	45990	938
98	46470	469
99	46946	0
